County,SecondDate,Cases_Change,Cases_Change%,Transit_Change,Transit_Change%,Transit_Level,Driving_Change,Driving_Change%,Driving_Level,Walking_Change,Walking_Change%,Walking_Level,Table_Change,Table_Change%,Table_Level
Albany,3/12/2020,2,1,-4.47,-0.033398087,129.37,-2.99,-0.028282255,102.73,-13.83,-0.120334116,101.1,-17,-0.25,51
Bronx,3/12/2020,2,1,-11,-0.124929018,77.05,-4.26,-0.042544692,95.87,-11.93,-0.112749268,93.88,-17,-0.25,51
Kings,3/12/2020,-5,-0.714285714,-9.96,-0.106706664,83.38,-2.74,-0.026458092,100.82,-9.27,-0.08608841,98.41,-17,-0.25,51
Monroe,3/12/2020,2,1,0.6,0.006574622,91.86,-4.1,-0.038519354,102.34,5.11,0.053112982,101.32,-17,-0.25,51
Nassau,3/12/2020,4,0.444444444,-11.27,-0.143274854,67.39,-5.45,-0.054374938,94.78,-5.16,-0.053020962,92.16,-17,-0.25,51
New York,3/12/2020,-9,-0.75,-14.54,-0.194671308,60.15,-9.42,-0.106404609,79.11,-17.08,-0.186076915,74.71,-17,-0.25,51
Queens,3/12/2020,1,0.25,-10.15,-0.122643789,72.61,-3.68,-0.036892231,96.07,-8.13,-0.083823075,88.86,-17,-0.25,51
Suffolk,3/12/2020,9,1.8,-12.53,-0.140203648,76.84,-11.37,-0.103570778,98.41,-11.49,-0.100279281,103.09,-17,-0.25,51
Westchester,3/12/2020,4,0.173913043,-12.1,-0.148612135,69.32,-7.59,-0.078417192,89.2,-9.75,-0.097285971,90.47,-17,-0.25,51
Albany,3/13/2020,-2,-1,-30.84,-0.238386025,98.53,3.94,0.038352964,106.67,14.43,0.14272997,115.53,-5,-0.098039216,46
Bronx,3/13/2020,1,0.5,-0.05,-0.000648929,77,11.28,0.11765933,107.15,11.2,0.119301236,105.08,-5,-0.098039216,46
Kings,3/13/2020,6,3,-1.2,-0.014391941,82.18,9.49,0.094128149,110.31,13.3,0.135148867,111.71,-5,-0.098039216,46
Monroe,3/13/2020,-3,-1.5,-9.34,-0.101676464,82.52,8.49,0.082958765,110.83,4.06,0.040071062,105.38,-5,-0.098039216,46
Nassau,3/13/2020,-3,-0.230769231,1.31,0.019439086,68.7,7.06,0.074488289,101.84,16.05,0.174153646,108.21,-5,-0.098039216,46
New York,3/13/2020,15,5,-5.58,-0.09276808,54.57,-1.74,-0.021994691,77.37,-3.66,-0.048989426,71.05,-5,-0.098039216,46
Queens,3/13/2020,10,2,-0.92,-0.012670431,71.69,9.14,0.095138961,105.21,11.95,0.134481206,100.81,-5,-0.098039216,46
Richmond,3/13/2020,3,3,1.48,0.018509255,81.44,10.16,0.105833333,106.16,22.02,0.23960827,113.92,-5,-0.098039216,46
Suffolk,3/13/2020,-6,-0.428571429,2.92,0.038001041,79.76,9.54,0.096941368,107.95,21.02,0.203899505,124.11,-5,-0.098039216,46
Westchester,3/13/2020,-17,-0.62962963,1.41,0.02034045,70.73,7.03,0.078811659,96.23,9.7,0.107217862,100.17,-5,-0.098039216,46
Albany,3/17/2020,2,0.25,-16.25,-0.218413978,58.15,-10.11,-0.135668277,64.41,-15.53,-0.18545498,68.21,-30,-0.714285714,12
Kings,3/17/2020,13,0.5,-7.64,-0.160977665,39.82,-6.04,-0.078096716,71.3,-5.49,-0.083181818,60.51,-30,-0.714285714,12
Monroe,3/17/2020,-6,-0.666666667,-12.71,-0.18713192,55.21,-8.33,-0.10656262,69.84,-6.93,-0.083504037,76.06,-30,-0.714285714,12
Nassau,3/17/2020,1,0.033333333,-9.26,-0.177462629,42.92,-9.08,-0.121066667,65.92,-6.27,-0.077695167,74.43,-30,-0.714285714,12
New York,3/17/2020,9,0.15,-5.28,-0.230366492,17.64,-6.86,-0.168013715,33.97,-7.15,-0.279733959,18.41,-30,-0.714285714,12
Queens,3/17/2020,-11,-0.224489796,-7.85,-0.172111379,37.76,-6.25,-0.083813866,68.32,-5.8,-0.083309394,63.82,-30,-0.714285714,12
Richmond,3/17/2020,5,0.833333333,-7.19,-0.135099587,46.03,-4.6,-0.062313736,69.22,-7.51,-0.097748275,69.32,-30,-0.714285714,12
Suffolk,3/17/2020,-10,-0.303030303,-5.84,-0.100171527,52.46,-9.62,-0.116889429,72.68,-3.54,-0.037294564,91.38,-30,-0.714285714,12
Westchester,3/17/2020,118,2.80952381,-9.58,-0.194162951,39.76,-7.47,-0.107730026,61.87,-6.56,-0.085953878,69.76,-30,-0.714285714,12
Albany,3/18/2020,1,0.1,2.77,0.047635426,60.92,0.03,0.000465766,64.44,5.77,0.084591702,73.98,-12,-1,0
Bronx,3/18/2020,94,3.24137931,-2.65,-0.054639175,45.85,-1.37,-0.018854941,71.29,1.17,0.016256774,73.14,-12,-1,0
Erie,3/18/2020,5,1.25,-7.88,-0.126019511,54.65,-2.23,-0.03410829,63.15,5.59,0.072418707,82.78,-12,-1,0
Kings,3/18/2020,225,5.769230769,-3.21,-0.080612757,36.61,-4.04,-0.056661992,67.26,-1.53,-0.025285077,58.98,-12,-1,0
Monroe,3/18/2020,2,0.666666667,6.2,0.112298497,61.41,-2.69,-0.038516609,67.15,-0.74,-0.009729161,75.32,-12,-1,0
Nassau,3/18/2020,107,3.451612903,-1.85,-0.043103448,41.07,1.69,0.025637136,67.61,5.07,0.068117694,79.5,-12,-1,0
New York,3/18/2020,92,1.333333333,-2.56,-0.145124717,15.08,-2.87,-0.084486311,31.1,-2.09,-0.113525258,16.32,-12,-1,0
Onondaga,3/18/2020,3,3,-2.5,-0.046589638,51.16,-0.15,-0.002158895,69.33,4.69,0.097323096,52.88,-12,-1,0
Queens,3/18/2020,85,2.236842105,-3.38,-0.089512712,34.38,-3.39,-0.049619438,64.93,-0.7,-0.010968348,63.12,-12,-1,0
Richmond,3/18/2020,15,1.363636364,-5.99,-0.130132522,40.04,-1.54,-0.022247905,67.68,3.66,0.052798615,72.98,-12,-1,0
Suffolk,3/18/2020,-4,-0.173913043,-0.72,-0.013724743,51.74,3.49,0.048018712,76.17,16.8,0.183847669,108.18,-12,-1,0
Westchester,3/18/2020,-2,-0.0125,0.06,0.001509054,39.82,0.66,0.010667529,62.53,2.57,0.036840596,72.33,-12,-1,0
Albany,3/19/2020,-4,-0.363636364,-7.48,-0.122783979,53.44,-2.61,-0.040502793,61.83,-2.78,-0.037577724,71.2,0.02,1,0.02
Bronx,3/19/2020,31,0.25203252,-2.29,-0.049945474,43.56,-4.61,-0.064665451,66.68,-4.87,-0.066584632,68.27,0.02,1,0.02
Erie,3/19/2020,-1,-0.111111111,-6.43,-0.117657823,48.22,-0.28,-0.004433888,62.87,-0.23,-0.002778449,82.55,0.02,1,0.02
Kings,3/19/2020,9,0.034090909,-1.46,-0.039879814,35.15,-2.77,-0.041183467,64.49,-4.62,-0.078331638,54.36,0.02,1,0.02
Monroe,3/19/2020,6,1.2,-10.55,-0.171796124,50.86,0.43,0.006403574,67.58,-1.81,-0.024030802,73.51,0.02,1,0.02
Nassau,3/19/2020,-44,-0.31884058,-6.08,-0.148039932,34.99,-8.57,-0.126756397,59.04,-13.84,-0.17408805,65.66,0.02,1,0.02
New York,3/19/2020,174,1.080745342,-2.15,-0.142572944,12.93,-3.5,-0.112540193,27.6,-2.98,-0.182598039,13.34,0.02,1,0.02
Onondaga,3/19/2020,-3,-0.75,-9.73,-0.190187647,41.43,-1.37,-0.019760565,67.96,-3.46,-0.065431165,49.42,0.02,1,0.02
Queens,3/19/2020,213,1.731707317,-1.37,-0.039848749,33.01,-5.12,-0.078854151,59.81,-7.53,-0.119296578,55.59,0.02,1,0.02
Richmond,3/19/2020,7,0.269230769,1.43,0.035714286,41.47,-2.78,-0.04107565,64.9,-4.97,-0.06810085,68.01,0.02,1,0.02
Suffolk,3/19/2020,104,5.473684211,-4.92,-0.095090839,46.82,-9.5,-0.124721019,66.67,-23.45,-0.216768349,84.73,0.02,1,0.02
Westchester,3/19/2020,102,0.64556962,-5.35,-0.134354596,34.47,-6.23,-0.099632177,56.3,-7.07,-0.09774644,65.26,0.02,1,0.02
Albany,3/20/2020,20,2.857142857,-0.82,-0.015344311,52.62,4.26,0.068898593,66.09,5.23,0.073455056,76.43,0.02,1,0.04
Bronx,3/20/2020,37,0.24025974,-3.28,-0.075298439,40.28,4.1,0.061487702,70.78,4.44,0.065035887,72.71,0.02,1,0.04
Erie,3/20/2020,11,1.375,-3.45,-0.071547076,44.77,1.75,0.027835216,64.62,-2.18,-0.026408237,80.37,0.02,1,0.04
Kings,3/20/2020,401,1.468864469,-1.67,-0.047510669,33.48,4.21,0.065281439,68.7,8.69,0.159860191,63.05,0.02,1,0.04
Monroe,3/20/2020,-5,-0.454545455,0.52,0.010224145,51.38,5.09,0.075318141,72.67,3.72,0.05060536,77.23,0.02,1,0.04
Nassau,3/20/2020,288,3.063829787,-1.39,-0.039725636,33.6,6.09,0.103150407,65.13,16.87,0.256929638,82.53,0.02,1,0.04
New York,3/20/2020,102,0.304477612,-0.26,-0.020108275,12.67,1.11,0.040217391,28.71,1.65,0.123688156,14.99,0.02,1,0.04
Onondaga,3/20/2020,5,5,3.46,0.083514362,44.89,5.89,0.086668629,73.85,3.75,0.07588021,53.17,0.02,1,0.04
Queens,3/20/2020,183,0.544642857,-2.86,-0.086640412,30.15,2.31,0.038622304,62.12,7.67,0.137974456,63.26,0.02,1,0.04
Richmond,3/20/2020,83,2.515151515,-2.97,-0.071618037,38.5,3.89,0.059938367,68.79,18.32,0.269372151,86.33,0.02,1,0.04
Suffolk,3/20/2020,97,0.788617886,-1.33,-0.028406664,45.49,7.54,0.113094345,74.21,20.33,0.239938629,105.06,0.02,1,0.04
Westchester,3/20/2020,33,0.126923077,2.89,0.083841021,37.36,6.37,0.113143872,62.67,9.74,0.149249157,75,0.02,1,0.04
Albany,3/24/2020,15,3.75,-7.01,-0.148674443,40.14,4.96,0.118887824,46.68,8.04,0.177836762,53.25,0,0,0
Bronx,3/24/2020,-151,-0.249174917,1.09,0.038886907,29.12,4.2,0.092961487,49.38,7.73,0.181115276,50.41,0,0,0
Erie,3/24/2020,-4,-0.129032258,-3.11,-0.084879913,33.53,4.53,0.102861035,48.57,11.81,0.222578213,64.87,0,0,0
Kings,3/24/2020,-2,-0.002849003,1.61,0.078999019,21.99,5.9,0.141418984,47.62,14.33,0.520523066,41.86,0,0,0
Monroe,3/24/2020,12,0.923076923,4.43,0.123916084,40.18,4.47,0.095655896,51.2,9.43,0.185301631,60.32,0,0,0
Nassau,3/24/2020,-115,-0.212177122,2.76,0.121585903,25.46,8.74,0.230424466,46.67,21.44,0.509869203,63.49,0,0,0
New York,3/24/2020,-202,-0.332784185,0.47,0.06167979,8.09,1.3,0.070921986,19.63,2.21,0.330343797,8.9,0,0,0
Onondaga,3/24/2020,-1,-0.125,5.78,0.140838207,46.82,5.01,0.113682777,49.08,2.46,0.073674753,35.85,0,0,0
Queens,3/24/2020,-313,-0.271701389,1.05,0.055614407,19.93,4.35,0.11263594,42.97,11.89,0.374842371,43.61,0,0,0
Richmond,3/24/2020,7,0.03626943,1.13,0.044054581,26.78,6.71,0.158105561,49.15,12.2,0.238934587,63.26,0,0,0
Suffolk,3/24/2020,-2,-0.004716981,5.12,0.148276861,39.65,11.67,0.263074842,56.03,35.34,0.644302644,90.19,0,0,0
Westchester,3/24/2020,-24,-0.023506366,2.12,0.084327765,27.26,8.52,0.23158467,45.31,21.57,0.53311913,62.03,0,0,0
Albany,3/25/2020,-13,-0.684210526,0.65,0.016193323,40.79,0.99,0.021208226,47.67,0.34,0.006384977,53.59,0,0,0
Bronx,3/25/2020,156,0.342857143,-2.3,-0.078983516,26.82,-1.87,-0.037869583,47.51,-4.21,-0.083515176,46.2,0,0,0
Erie,3/25/2020,-19,-0.703703704,3.36,0.100208768,36.89,4.09,0.084208359,52.66,15.68,0.241714198,80.55,0,0,0
Kings,3/25/2020,79,0.112857143,-1.56,-0.070941337,20.43,-2.82,-0.059218816,44.8,-8.46,-0.202102246,33.4,0,0,0
Monroe,3/25/2020,-13,-0.52,-2.24,-0.055749129,37.94,3.43,0.066992188,54.63,2.86,0.047413793,63.18,0,0,0
Nassau,3/25/2020,-11,-0.025761124,-1.83,-0.071877455,23.63,-4.07,-0.087208057,42.6,-12.14,-0.191211214,51.35,0,0,0
New York,3/25/2020,37,0.091358025,-0.57,-0.070457355,7.52,-1.09,-0.055527254,18.54,-1.63,-0.183146067,7.27,0,0,0
Onondaga,3/25/2020,14,2,4.24,0.09055959,51.06,3.38,0.068867156,52.46,7.22,0.2013947,43.07,0,0,0
Queens,3/25/2020,171,0.203814064,-1.28,-0.064224787,18.65,-2.96,-0.068885269,40.01,-8.58,-0.196743866,35.03,0,0,0
Richmond,3/25/2020,-90,-0.45,-2.07,-0.07729649,24.71,-3.01,-0.061241099,46.14,-9.27,-0.146538097,53.99,0,0,0
Suffolk,3/25/2020,-42,-0.099526066,0.68,0.017150063,40.33,-5.27,-0.094056755,50.76,-22.24,-0.246590531,67.95,0,0,0
Westchester,3/25/2020,-197,-0.197592778,-1.92,-0.070432869,25.34,-3.92,-0.086515118,41.39,-11.12,-0.179268096,50.91,0,0,0
Albany,3/26/2020,13,2.166666667,-5.65,-0.138514342,35.14,4.97,0.104258443,52.64,9.2,0.17167382,62.79,0,0,0
Bronx,3/26/2020,227,0.371522095,1.66,0.061894109,28.48,3.23,0.067985687,50.74,5.42,0.117316017,51.62,0,0,0
Erie,3/26/2020,76,9.5,-1.17,-0.031715912,35.72,2.45,0.046524877,55.11,-7.69,-0.095468653,72.86,0,0,0
Kings,3/26/2020,-24,-0.030808729,0.82,0.040137053,21.25,3.67,0.081919643,48.47,7.98,0.238922156,41.38,0,0,0
Monroe,3/26/2020,18,1.5,3.4,0.089615182,41.34,4.09,0.074867289,58.72,9.41,0.148939538,72.59,0,0,0
Nassau,3/26/2020,213,0.512019231,1.75,0.0740584,25.38,4.65,0.10915493,47.25,12.66,0.24654333,64.01,0,0,0
New York,3/26/2020,100,0.226244344,0.48,0.063829787,8,1.07,0.057713053,19.61,1.45,0.199449794,8.72,0,0,0
Onondaga,3/26/2020,9,0.428571429,-6.55,-0.128280454,44.51,4.9,0.093404499,57.36,3.18,0.073833295,46.25,0,0,0
Queens,3/26/2020,228,0.225742574,0.37,0.019839142,19.02,2.93,0.073231692,42.94,7.85,0.224093634,42.88,0,0,0
Richmond,3/26/2020,54,0.490909091,1.35,0.054633752,26.06,4.95,0.107282185,51.09,11.95,0.221337285,65.94,0,0,0
Suffolk,3/26/2020,95,0.25,0.12,0.002975453,40.45,7.14,0.140661939,57.9,19.83,0.29183223,87.78,0,0,0
Westchester,3/26/2020,453,0.56625,2.1,0.082872928,27.44,4.68,0.11307079,46.07,12.42,0.243959929,63.33,0,0,0
Albany,3/27/2020,-3,-0.157894737,9.18,0.261240751,44.32,8.04,0.152735562,60.68,16.95,0.269947444,79.74,0,0,0
Bronx,3/27/2020,-9,-0.010739857,1.73,0.060744382,30.21,6.51,0.128301143,57.25,5.91,0.114490508,57.53,0,0,0
Erie,3/27/2020,-45,-0.535714286,5.98,0.167413214,41.7,7.18,0.130284885,62.29,15.01,0.206011529,87.87,0,0,0
Kings,3/27/2020,351,0.464900662,1.2,0.056470588,22.45,4,0.082525273,52.47,5.25,0.126872885,46.63,0,0,0
Monroe,3/27/2020,-12,-0.4,2.11,0.051040155,43.45,8.3,0.141348774,67.02,6.19,0.085273454,78.78,0,0,0
Nassau,3/27/2020,114,0.181240064,-0.4,-0.015760441,24.98,4.9,0.103703704,52.15,8.93,0.139509452,72.94,0,0,0
New York,3/27/2020,-19,-0.035055351,1.25,0.15625,9.25,2.26,0.115247323,21.87,1.57,0.180045872,10.29,0,0,0
Onondaga,3/27/2020,-18,-0.6,5.3,0.119074365,49.81,5.93,0.103382148,63.29,3.77,0.081513514,50.02,0,0,0
Queens,3/27/2020,86,0.069466882,0.13,0.006834911,19.15,3.58,0.083372147,46.52,2.35,0.054804104,45.23,0,0,0
Richmond,3/27/2020,59,0.359756098,0.6,0.023023791,26.66,6.86,0.134272852,57.95,13.7,0.207764635,79.64,0,0,0
Suffolk,3/27/2020,175,0.368421053,1.02,0.025216316,41.47,5.64,0.097409326,63.54,9.06,0.103212577,96.84,0,0,0
Westchester,3/27/2020,-10,-0.007980846,-0.93,-0.033892128,26.51,6.01,0.130453657,52.08,8.44,0.133270172,71.77,0,0,0
Albany,3/31/2020,-3,-0.25,1,0.028129395,36.55,2.77,0.058144416,50.41,14.53,0.289154229,64.78,0,0,0
Bronx,3/31/2020,146,0.221884498,-1.25,-0.046142488,25.84,0.68,0.014043784,49.1,0.81,0.017077799,48.24,0,0,0
Erie,3/31/2020,27,0.931034483,2.96,0.078954388,40.45,3.05,0.065492807,49.62,1.54,0.026338293,60.01,0,0,0
Kings,3/31/2020,877,0.867457962,-0.92,-0.045657568,19.23,-0.65,-0.01445408,44.32,-1.22,-0.034097261,34.56,0,0,0
Monroe,3/31/2020,-16,-0.592592593,3.4,0.075909801,48.19,2.79,0.054059291,54.4,6.97,0.123036187,63.62,0,0,0
Nassau,3/31/2020,301,0.334816463,-0.76,-0.032843561,22.38,0.29,0.00687041,42.5,0.38,0.007126782,53.7,0,0,0
New York,3/31/2020,226,0.535545024,-0.55,-0.070876289,7.21,-0.21,-0.011357491,18.28,-0.44,-0.055979644,7.42,0,0,0
Onondaga,3/31/2020,-13,-0.382352941,-1.35,-0.030398559,43.06,4.04,0.081435195,53.65,3.44,0.089793788,41.75,0,0,0
Queens,3/31/2020,764,0.607313196,-1.21,-0.066593286,16.96,0.33,0.008316532,40.01,-0.49,-0.012753774,37.93,0,0,0
Richmond,3/31/2020,-12,-0.035714286,-2.16,-0.088127295,22.35,1.48,0.032406394,47.15,2.89,0.054353959,56.06,0,0,0
Suffolk,3/31/2020,154,0.200520833,-1.73,-0.047023648,35.06,1.52,0.030206677,51.84,4.35,0.060232623,76.57,0,0,0
Westchester,3/31/2020,-166,-0.205700124,-0.09,-0.003685504,24.33,1.54,0.038270378,41.78,6.39,0.124658603,57.65,0,0,0
Albany,4/1/2020,5,0.555555556,1,0.027359781,37.55,1.95,0.038682801,52.36,1.57,0.024235875,66.35,0,0,0
Bronx,4/1/2020,1564,1.945273632,0.53,0.020510836,26.37,0.76,0.015478615,49.86,3.11,0.06446932,51.35,0,0,0
Erie,4/1/2020,27,0.482142857,4.01,0.099134734,44.46,4.68,0.094316808,54.3,17.57,0.292784536,77.58,0,0,0
Kings,4/1/2020,1523,0.806673729,-0.21,-0.010920437,19.02,2.25,0.050767148,46.57,4.72,0.136574074,39.28,0,0,0
Monroe,4/1/2020,81,7.363636364,-5.9,-0.12243204,42.29,4.64,0.085294118,59.04,4.33,0.068060358,67.95,0,0,0
Nassau,4/1/2020,-190,-0.158333333,-1.8,-0.080428954,20.58,1.74,0.040941176,44.24,6.8,0.126629423,60.5,0,0,0
New York,4/1/2020,649,1.00154321,-0.17,-0.023578363,7.04,0.16,0.008752735,18.44,0.19,0.025606469,7.61,0,0,0
Onondaga,4/1/2020,7,0.333333333,7.33,0.170227589,50.39,3.39,0.063187325,57.04,6.57,0.157365269,48.32,0,0,0
Queens,4/1/2020,683,0.337784372,0,0,16.96,0.2,0.00499875,40.21,1.09,0.028737147,39.02,0,0,0
Richmond,4/1/2020,624,1.925925926,-1.23,-0.055033557,21.12,1.63,0.03457052,48.78,7.69,0.137174456,63.75,0,0,0
Suffolk,4/1/2020,-30,-0.032537961,-1.15,-0.032800913,33.91,2.93,0.056520062,54.77,6.37,0.083191851,82.94,0,0,0
Westchester,4/1/2020,75,0.11700468,2.97,0.122071517,27.3,2.13,0.050981331,43.91,0.57,0.009887251,58.22,0,0,0
Albany,4/2/2020,-1,-0.071428571,-3.06,-0.081491345,34.49,-1.18,-0.022536287,51.18,-7.69,-0.115900528,58.66,0,0,0
Bronx,4/2/2020,-1039,-0.438766892,-1.96,-0.074326887,24.41,-0.53,-0.010629763,49.33,-0.35,-0.006815969,51,0,0,0
Erie,4/2/2020,-48,-0.578313253,-5.02,-0.112910481,39.44,1.21,0.02228361,55.51,-0.75,-0.00966744,76.83,0,0,0
Kings,4/2/2020,-1630,-0.477865729,-0.82,-0.043112513,18.2,-0.17,-0.003650419,46.4,-3.25,-0.082739308,36.03,0,0,0
Monroe,4/2/2020,-21,-0.22826087,-7.71,-0.182312603,34.58,1.83,0.030995935,60.87,4.43,0.065194996,72.38,0,0,0
Nassau,4/2/2020,23,0.022772277,2.53,0.122934888,23.11,0.23,0.005198915,44.47,-3.08,-0.050909091,57.42,0,0,0
New York,4/2/2020,-473,-0.364687741,-0.18,-0.025568182,6.86,-0.16,-0.00867679,18.28,-0.08,-0.010512484,7.53,0,0,0
Onondaga,4/2/2020,-4,-0.142857143,-1.74,-0.034530661,48.65,-1.61,-0.028225806,55.43,-6.14,-0.127069536,42.18,0,0,0
Queens,4/2/2020,-822,-0.303881701,-1.06,-0.0625,15.9,-0.21,-0.005222581,40,-1.17,-0.029984623,37.85,0,0,0
Richmond,4/2/2020,-550,-0.580168776,0.41,0.019412879,21.53,0.42,0.008610086,49.2,-0.16,-0.002509804,63.59,0,0,0
Suffolk,4/2/2020,249,0.279147982,3.41,0.100560307,37.32,-0.96,-0.017527844,53.81,-4.14,-0.049915602,78.8,0,0,0
Westchester,4/2/2020,168,0.234636872,-0.47,-0.017216117,26.83,-0.45,-0.010248235,43.46,-4.23,-0.072655445,53.99,0,0,0
Albany,4/3/2020,1,0.076923077,-1.47,-0.04262105,33.02,4.12,0.080500195,55.3,-2.26,-0.038527105,56.4,0,0,0
Bronx,4/3/2020,-31,-0.023325809,0.47,0.019254404,24.88,3.6,0.072977904,52.93,-0.83,-0.01627451,50.17,0,0,0
Erie,4/3/2020,82,2.342857143,6.99,0.177231237,46.43,5.8,0.104485678,61.31,-0.64,-0.008330079,76.19,0,0,0
Kings,4/3/2020,-241,-0.135317238,-0.31,-0.017032967,17.89,2.25,0.048491379,48.65,-0.35,-0.009714127,35.68,0,0,0
Monroe,4/3/2020,-27,-0.38028169,9.35,0.270387507,43.93,5.13,0.084277969,66,-4.13,-0.057059961,68.25,0,0,0
Nassau,4/3/2020,404,0.391093901,-2.48,-0.107312852,20.63,2.73,0.061389701,47.2,-3.73,-0.064959944,53.69,0,0,0
New York,4/3/2020,-196,-0.237864078,0.23,0.033527697,7.09,1.54,0.084245077,19.82,-0.08,-0.01062417,7.45,0,0,0
Onondaga,4/3/2020,-3,-0.125,-4.04,-0.083042138,44.61,5.93,0.106981779,61.36,2.19,0.051920341,44.37,0,0,0
Queens,4/3/2020,-43,-0.0228359,-0.18,-0.011320755,15.72,2.8,0.07,42.8,0.17,0.004491413,38.02,0,0,0
Richmond,4/3/2020,-160,-0.40201005,1.15,0.053413841,22.68,4.32,0.087804878,53.52,-2.56,-0.040257902,61.03,0,0,0
Suffolk,4/3/2020,267,0.234005259,-3.56,-0.095391211,33.76,1.65,0.030663445,55.46,-9.9,-0.125634518,68.9,0,0,0
Westchester,4/3/2020,-100,-0.113122172,-3.04,-0.113306001,23.79,2.53,0.05821445,45.99,0.64,0.011854047,54.63,0,0,0
Albany,4/8/2020,-5,-0.357142857,2.35,0.070044709,35.9,-2.96,-0.05423232,51.62,-13.36,-0.185092823,58.82,0,0,0
Bronx,4/8/2020,-195,-0.185714286,0.07,0.002946128,23.83,-0.79,-0.015940274,48.77,-2.18,-0.043023485,48.49,0,0,0
Erie,4/8/2020,15,0.174418605,-2.28,-0.046004843,47.28,-2.18,-0.038265754,54.79,-3.52,-0.046499339,72.18,0,0,0
Kings,4/8/2020,213,0.216024341,-0.72,-0.040540541,17.04,-2.39,-0.050700042,44.75,-2.96,-0.076308327,35.83,0,0,0
Monroe,4/8/2020,33,1.5,-5.34,-0.114814018,41.17,-0.63,-0.010052657,62.04,0.4,0.005324105,75.53,0,0,0
Nassau,4/8/2020,944,0.949698189,0.67,0.029897367,23.08,-1.09,-0.023481258,45.33,-2.25,-0.033799009,64.32,0,0,0
New York,4/8/2020,-30,-0.072992701,-0.15,-0.022727273,6.45,0.06,0.003220612,18.69,-0.51,-0.063354037,7.54,0,0,0
Onondaga,4/8/2020,5,0.25,4.24,0.102588918,45.57,-2.93,-0.049301699,56.5,1.94,0.043178277,46.87,0,0,0
Queens,4/8/2020,-66,-0.052631579,-0.01,-0.00065445,15.27,-0.52,-0.012720157,40.36,-1.87,-0.045498783,39.23,0,0,0
Richmond,4/8/2020,-18,-0.051873199,0.32,0.015549077,20.9,0.38,0.007529225,50.85,-1.62,-0.023410405,67.58,0,0,0
Suffolk,4/8/2020,71,0.051598837,0.72,0.020151134,36.45,-2.21,-0.039087372,54.33,-13.7,-0.149906992,77.69,0,0,0
Westchester,4/8/2020,1593,1,-1.14,-0.046740467,23.25,-2.86,-0.061452514,43.68,-9.45,-0.148421549,54.22,0,0,0
Albany,4/9/2020,28,3.111111111,-0.17,-0.004735376,35.73,-1.97,-0.038163503,49.65,-8.16,-0.138728324,50.66,0,0,0
Bronx,4/9/2020,697,0.815204678,-1.34,-0.056231641,22.49,-0.8,-0.016403527,47.97,-4.15,-0.085584657,44.34,0,0,0
Erie,4/9/2020,-4,-0.03960396,-6.2,-0.131133672,41.08,-1.46,-0.026647198,53.33,-7.5,-0.103906899,64.68,0,0,0
Kings,4/9/2020,353,0.29441201,-0.56,-0.03286385,16.48,-0.99,-0.022122905,43.76,-4.88,-0.136198716,30.95,0,0,0
Monroe,4/9/2020,-8,-0.145454545,-1.85,-0.044935633,39.32,-1.12,-0.018052869,60.92,-8.44,-0.111743678,67.09,0,0,0
Nassau,4/9/2020,-346,-0.178534572,-2.48,-0.10745234,20.6,-2.7,-0.059563203,42.63,-13.19,-0.205068408,51.13,0,0,0
New York,4/9/2020,373,0.979002625,-0.1,-0.015503876,6.35,0.11,0.0058855,18.8,-0.76,-0.100795756,6.78,0,0,0
Onondaga,4/9/2020,-25,-1,-7.13,-0.156462585,38.44,0.18,0.003185841,56.68,-2.77,-0.059099637,44.1,0,0,0
Queens,4/9/2020,794,0.668350168,-0.69,-0.04518664,14.58,-1.02,-0.025272547,39.34,-5.44,-0.138669386,33.79,0,0,0
Richmond,4/9/2020,409,1.243161094,-0.52,-0.024880383,20.38,-1.1,-0.021632252,49.75,-7.53,-0.111423498,60.05,0,0,0
Suffolk,4/9/2020,348,0.240497581,-3.02,-0.082853224,33.43,-3.45,-0.063500828,50.88,-12.85,-0.165400953,64.84,0,0,0
Westchester,4/9/2020,-476,-0.298807282,-1.9,-0.08172043,21.35,-1.58,-0.036172161,42.1,-5.24,-0.096643305,48.98,0,0,0
Albany,4/10/2020,10,0.27027027,-2.77,-0.077525889,32.96,8.69,0.175025176,58.34,8.7,0.171733123,59.36,0,0,0
Bronx,4/10/2020,-48,-0.030927835,2.11,0.093819475,24.6,6.08,0.126745883,54.05,4.96,0.111862878,49.3,0,0,0
Erie,4/10/2020,-31,-0.319587629,0.67,0.01630964,41.75,7.17,0.134445903,60.5,3.59,0.05550402,68.27,0,0,0
Kings,4/10/2020,-76,-0.048969072,0.39,0.023665049,16.87,4.71,0.107632541,48.47,3.01,0.097253635,33.96,0,0,0
Monroe,4/10/2020,-3,-0.063829787,-5.81,-0.147761953,33.51,5.75,0.09438608,66.67,-2.1,-0.031301237,64.99,0,0,0
Nassau,4/10/2020,-220,-0.138190955,1.91,0.092718447,22.51,7.77,0.18226601,50.4,7.4,0.144729122,58.53,0,0,0
New York,4/10/2020,-119,-0.157824934,0.47,0.074015748,6.82,1.81,0.096276596,20.61,0.66,0.097345133,7.44,0,0,0
Onondaga,4/10/2020,34,1,5.2,0.135275754,43.64,3.46,0.06104446,60.14,-2.73,-0.061904762,41.37,0,0,0
