County,SecondDate,Cases_Change,Cases_Change%,Cases_Level_x,Transit_Change,Transit_Change%,Transit_Level,Cases_Level_y,Driving_Change,Driving_Change%,Driving_Level,Cases_Level,Walking_Change,Walking_Change%,Walking_Level,Table_Change,Table_Change%,Table_Level
36,Queens,2020-03-18,85,2.236842105263158,123,-3.3799999999999955,-0.08951271186440667,34.38,123,-3.3899999999999864,-0.049619437939109876,64.93,123,-0.7000000000000028,-0.010968348480100327,63.12,-12.0,-1.0,0.0
37,Richmond,2020-03-18,15,1.3636363636363635,26,-5.990000000000002,-0.13013252226808608,40.04,26,-1.539999999999992,-0.022247905229702283,67.68,26,3.660000000000011,0.05279861511829214,72.98,-12.0,-1.0,0.0
38,Suffolk,2020-03-18,-4,-0.17391304347826086,19,-0.7199999999999989,-0.013724742661075083,51.74,19,3.489999999999995,0.04801871216290581,76.17,19,16.80000000000001,0.1838476690741958,108.18,-12.0,-1.0,0.0
39,Westchester,2020-03-18,-2,-0.0125,158,0.060000000000002274,0.0015090543259557916,39.82,158,0.6600000000000037,0.010667528689187066,62.53,158,2.569999999999993,0.03684059633027513,72.33,-12.0,-1.0,0.0
40,Albany,2020-03-19,-4,-0.36363636363636365,7,-7.480000000000004,-0.12278397898883789,53.44,7,-2.6099999999999994,-0.04050279329608938,61.83,7,-2.780000000000001,-0.03757772370911058,71.2,0.01999999999999602,1.0,0.01999999999999602
41,Bronx,2020-03-19,31,0.25203252032520324,154,-2.289999999999999,-0.04994547437295527,43.56,154,-4.609999999999999,-0.06466545097489128,66.68,154,-4.8700000000000045,-0.06658463221219585,68.27,0.01999999999999602,1.0,0.01999999999999602
42,Erie,2020-03-19,-1,-0.1111111111111111,8,-6.43,-0.11765782250686184,48.22,8,-0.28000000000000114,-0.004433887569279512,62.87,8,-0.23000000000000398,-0.0027784489007007004,82.55,0.01999999999999602,1.0,0.01999999999999602
43,Kings,2020-03-19,9,0.03409090909090909,273,-1.4600000000000009,-0.03987981425839937,35.15,273,-2.7700000000000102,-0.0411834671424325,64.49,273,-4.619999999999997,-0.07833163784333669,54.36,0.01999999999999602,1.0,0.01999999999999602
44,Monroe,2020-03-19,6,1.2,11,-10.549999999999997,-0.17179612440970524,50.86,11,0.4299999999999926,0.006403574087862882,67.58,11,-1.809999999999988,-0.024030801911842647,73.51,0.01999999999999602,1.0,0.01999999999999602
45,Nassau,2020-03-19,-44,-0.3188405797101449,94,-6.079999999999998,-0.14803993182371555,34.99,94,-8.57,-0.12675639698269486,59.04,94,-13.840000000000003,-0.17408805031446545,65.66,0.01999999999999602,1.0,0.01999999999999602
46,New York,2020-03-19,174,1.0807453416149069,335,-2.1500000000000004,-0.14257294429708225,12.93,335,-3.5,-0.11254019292604502,27.6,335,-2.9800000000000004,-0.1825980392156863,13.34,0.01999999999999602,1.0,0.01999999999999602
47,Onondaga,2020-03-19,-3,-0.75,1,-9.729999999999997,-0.19018764659890536,41.43,1,-1.3700000000000045,-0.01976056541179871,67.96,1,-3.460000000000001,-0.06543116490166416,49.42,0.01999999999999602,1.0,0.01999999999999602
